상품명,가격,상품링크
슬라이스닭가슴살 양념치킨맛 10팩/무료배송 ,"17,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC274894744&data=wlq4gjoZn5k0AJr6EM0BwoDfG0AtCqqXfDPr4giU8MjmmyExY2RmnSkiqR0CP%2bSSikRoFVW%2bcaS3%2fnUGwlfmM6y%2fNoZPpuFmkpPsboZNyORhIUBzaOXvysVfjTpznUaTEdnGi%2f2kIlpNHlDmpKLu5kxf4ZjkuCSvbPrN2ukRh7OtwMr7gXvhT0EmOwIRqkiKinKFIrBBx%2fGSlgi2xUr%2f2vdMDZgheeSLzIe9bMh1OT%2f0Zqtnc1KvjNCvFlor0D2jTDJGzNPN31QOn1JhbRa093a5I9FZ7Qk3Gg3Rvq7lOc5XszRXgE8cv%2fwVFfX3ToYWkOG2NWI7pkca6CijHzuNixkkkHVT9ohfWJCpZmXYTjpjDSXJK%2bOBwsSITB5X0ZrGGSzJjtYiKlt2LsTQ4orcWrigA%2bZfAuUnVoqC2MHgq2brXdzI%2bUeMNFVxsN3yDGC5mUfnIxGbW1M4ogDrPN%2b26sTgHY9BOc8HVC7HEay2EEzbNnQiODUmEmXG2WaHsFT0jlJUP6zbmf1Qa1AFKLYRjru%2f397imQpbe%2fNylk8fgmI3bogizUh3wCox4efqXiTqQL5sBhpDfx8pPjRsnzfBLoucm6wJhdGR4KJBvApzNhXKW%2fYkchWAG64OLe0HlagufauwvuVwdKDaqoP6%2bEdN1e1k8tskXTPHgm8SKpYoqTbss9pEYMgJl5Q1oTZYuRsfK8CsXAZLCWGWa%2f2JUI73jXSh73G8th3an&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462650&type=1
풀토래 뉴그릴 닭가슴살 10팩/무료배송 ,"16,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC272462465&data=wlq4gjoZn5k2Dx2OBtgbmCvpCWqgnOlRyrFhyinLSNlGXUWDT4haYzHkxYwVB9J9jZaSE0oFP4IHhJAmKx7dPeqR3yzRXGqDKjz2l6g6ErLDZSdZFZjEtyXrGVhjzwNRaZ01hZbdt6Sw8HkcNxdNIh0xRzXr5iWfM6pLQmMBdOzd1S36dS930bEUu3WxqP6r7vp%2bzf9rwx9zN6t296wKCRO7ieWFer7mK6P99QLDSb3mSvGkP93GdyFdBV3tsku%2bAcxjfG1m%2fSrE%2b0QbJox8s80Dkl6wQevCfp3gfXL%2fe%2fCpJHcuwNoVHsT9zrEDrL4dmgY8usEBon3%2flioRf9c2o48cUr7UdUMLVOg5SqNq1TNyDXJwk%2fBpH18KSi255%2bh%2b4YJncE11nVDiPuya%2f5UUvYW2zOwbc6M2RHYgjIhO4jDZItkDEY3PBsq38h43ZGeQSsIY6QNbKqR%2fShBnFmlBIJHuGO9NhswVAJ4e%2fW4FUPBmiMTryJOUVaWzwYu5zqMHc2aruiQszofIcfKUCQLLABXIHt7%2blHTPF%2fs4IpKOUSqxf0irpDais2HvagsfWQD3ornvTxYk99z3yIpP1USn3JmT43EVFAJOUNhnJeJmmuHJBXHyRK%2bUZMiqeVdC%2fSGb8b9ViSjiXKs0q3TgMdT8qluqdI35ti0vCfWSq3voCakn6QF9y122nBWsPqOTYx3b5vtCIKZf1MUgXEbAvbGgOTVc9t1jBLV6c&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462651&type=1
풀토래 슬라이스닭가슴살 까르보나라맛 10팩/무료배송 ,"17,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC274687812&data=w3YoKjKgvE4LptwVMidtMYDg7n5GEKS0LRNEBzwqOn04KP0CZuHdNZPnzwbALLzi0jw882UX%2bZlJrE2FlpQJphFOem16QxTWakOnrAEJVv%2b8gXuUF%2bC7UZYptGtLm16rZep371wesfy4b%2foB6NvSyeMgVCjVkIbynuk8YWaIcNmPkSoGs6trtaGNnU4MKlf9kbbNpel0Vr%2fjeZBGfuoQnL7s6SxuZwYl%2by1zpKtts0MZdw88jL3MH%2fh9pqIxRxeaMVZLr92cZfQL3%2bArn%2fXBdCmFjj8weFsVbfEiHqZSqoUXthv%2buGgNLQb9EVLgj1f%2bXun16TJQEdc294fhiNl9Ffbr8usdK9nvXUtdwZbgzSXCvLl4LNaEE2X5PPoe7QPnmN16GU8cur90hdN8LT%2bEMiKyCh7eFp9UQh2D8n9yrUvSahrR5ppfNiTc795UgrRoy1zz9%2f0BdOMeryluUBxwC5xVLLY9Nxj84O%2b3o8xxTJtJKvHDvPd6dcPoMgsg%2fbEm5Xc0DZF4ZOrzl4wUDVNJeIzwFRGBPNeiBNp8MnK5JTJ5Rva8S9NA4zcthMDn1Hb4m0baQaWHHk%2bQQ96NncEdQqJ2KuW2yOIeYO6DEGkZF7fShCwjWTVLFsICWcjU5NU%2b2ChSY%2f00mf9euZYB7yrWP7GeWEfhsSDaqLaceRVTOvni7UgWTciuuEW9tjz5cBmLH5DmzT1rbmCZQdVLnNkylhxDwnUTwynpr&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462652&type=1
풀토래 갈릭 닭가슴살 10팩/무료배송 ,"16,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC272471229&data=wGQgIPptjsx84ts6QPk%2bM9EAR1nJ1X19Dw6Ei%2fuqBq7JNgtZnWMolLPRFT%2feFY4BNdukQ1BYdkL1IqiteYjA7oiI%2baz7ks2%2bgJ2FVklzTO8TkeD4oO0qkbpszGmb8%2fx%2fcMGH%2bf6tcoPNuXQwXbC%2fbFfWXSn7BKY4L3ix6GbzPqWtkTN7MUf5Ux3EsTAI0xIQcgqd8aFmKafx01oCARTFKJHBnTI6l0lL50dd8i9YE2d22uVjL64kB6FAP1jtFiQWibbyPlAueQv6wzXtU65TnkP6a7BDQScJV%2fUQmNEFQ7xgscuetMUI1Fnk7FE8NlQJz3o1nPt3Y8pfxgr2HgegL902RtK7UavcKFkpvd9Ju5tJvg3X7BX7L%2f3LUt57qTU5FaKqwq79aIVlzUpqXgiKC3xCvPwZbQgejHWqnWmahe61SASRVOeYo3B18MLTZUhARnbgSNoD2wLgr8kE2smPSsIDNVV%2bBcZGhhQAPXGkKjOZCiRPG3eBbY%2bYeAbjozI9vctFj%2f0fHvtuUavk%2f2zwpVi8ReXLqIhDWCQbNpbadWRKgETcIy0D20iNPxEeell04xGi3qWXCOWkqMFGwo6sAFFTP1TpZjfGXm0e8ElHSXxE3qJVDltXrZha2EDxov6uDiBZzmeP3MkgdYj0a7e%2fL9aEvCYQn3SVHCHtjtQcCWUa%2fwbphdDTNIUNllPv0zombFzYgV5mdinr%2fg9eG5T2eCPkBxpW2ge2t&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462653&type=1
풀토래 슬라이스닭가슴살 토마토맛 1팩 130g ,"1,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC291448902&data=wsP07KgqvfbwklXliiqxEue3jdWxFluyTzN8uvWXYIOGFa0eHiwsrrbM44fxO3aRBYSrWWdpAxhZzP7wtC5iKaj81d7lJKp%2fewUJTO26BpTobuTv743GUCqpB92zZOE%2fCOxpQZninAa13fN3EwI6wqmf9F1S9PWRxi3JKLZiOn2Z0T7SEl7ZVAL%2fBC6o%2bKxqlyW3n9nwGV%2bc4Z9lcAiRKXO1DoHq2g1LUrC31vMb1fDma1X16RB%2bHcw85NRZnpbMVELviKBPDAZNVtYf683WSmhfRGXne9Y7LO9wsl%2bafAXkcrVAsQY0i4eOk5FV4yRY%2fKDHlR%2fN0AwWEJPMR6grxSzD8TEJMsrtCHeLwcaGM7osYudjP%2bueksm4FaGq2huRvoGXqmAU7%2bHdLYEmp5a38MbRYC2Ep9HwEvOJJ8nD4o6ZKnouieapwhR4458TMai3qNbn5dRybi8UHkcuNZ9l%2baRKlw5utVoJdIsgi%2bbJ251BHDjoooDs9Ykyy%2f6D1GjvBD%2fza1%2bdkwr%2bOemV8qabuja5wZEiNkKKPJIEhtYDIUk91Unk0jp0h%2bJ0LH9Ssg06%2bsCPJRFrH2LkIv87c9ZApAGRIxbUHt7wmQcoqvOElpPo7qPDaWmXs4sNChzgWNNUMpIvCqcG48Fy6yv%2bjiX3%2flzXpuCY3%2fCaQvvvBJKbggdRYFGMMs0cJX6loIQs2qDq6hkx%2bjoT%2bzF9Ls%2fZlL98qSN86MW1qRfAO&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462654&type=1
풀토래 슬라이스닭가슴살 매콤한맛 10팩/무료배송 ,"17,900",http://adgate.auction.co.kr/core/click?nextUrl=http%3a%2f%2fitempage3.auction.co.kr%2fDetailView.aspx%3fitemno%3dC274706101&data=wQq%2b4XegQwlUARggZZuePwi18I87w%2b4lyVvTf%2bilWQVyODI0%2b4WIfvNmVJxlgTLNPIZ7O9LmzyYuJ01Ei357P%2fLJXaE4MyzzjDdvSObBBp86gFwnbBDyDK%2fLWTUgfysCkXm6DDPveUUQBulYYutL6OsCfSxAer5Vvv3JqR%2bttBuZ8Ebv2IaWGvL%2fK4pCov%2fX8qAZvLkSTG3FzfNCeDFvSCaTLM%2bCWYYGfW4XWzuEZ84cFBJnjJhQpkQzUnAmaHApIk6Cvi0OkJizgzESN77rDzMnPQWM3%2bF9QKffEqE6jlbnFqofNkPjEQ7lEeLq%2fvSfpat3X5lzhqIFxezekuUjUkd2d6MFqIW4PEj5nUyvU%2bjb0NcGLlIF8dKk87fMOcM3pH3OYq5bt5O%2foljakfAVimRh03IJb2EkSDfj3T4A12RaVBoSShSY%2bNN6LIjZvSY2sw0y2TKdFFYu11%2bENc0XYKexyDeo%2frdGaZ0FqBK6PvQV2SEflzV4IIlMiuB8TAdbKIqUTGY%2fYWoLyMQfs%2bmMzKgLs7d6wxxPDX2%2b5%2b80JxypUrSZMXrb284%2b5tsST%2fEdH3V85s%2fKYJxfAEHgJXrfNLgE%2fmRHiGi72TbGb%2fSV5o0W%2bga%2bxHbok9Y95UdzN7SHWAvQxe3pRyO7f3kBQFNwRxpNG4BOy6RghATPMamO%2b5VgjYSoABadnk7TRXeA9HOtFfJwEzOSg5kaVJcVkrnomCu%2fsYKUuAxNa&referrer=http%3a%2f%2fwww.auction.co.kr%2f&seq=339653462655&type=1
사조 리얼 훈제닭가슴살 135gx12개 ,"20,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C413543648
사조 리얼 닭가슴살 135gx12개 ,"20,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C413544806
하림 IFF 닭가슴살 1kg 3봉 ,"39,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C393238613
사조 리얼 닭가슴살 135gx4 ,"7,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C332751833
사조 리얼 훈제닭가슴살 135gx4 ,"7,200",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C332750524
랭킹닭컴 닭가슴살 소시지 혼합구성 16팩(1.6kg) ,"22,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C463465729
10kg 닭가슴살(국내산 닭가슴살 1kg-10개) ,"49,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A549376569
닭가슴살 슬라이스 10kg(100% 국내산) ,"47,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A872968931
목우촌닭고기 생닭가슴살 냉장 닭가슴살 5kg ,"27,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A784825216
목우촌닭고기 냉동 닭가슴살 5kg ,"27,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A728719745
하림 IFF 닭가슴살 1kg 5봉 ,"49,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C309322392
그린푸드 닭가슴살SL 10kg 국내산100% ,"49,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A514780888
사조 리얼 훈제닭가슴살 135gx12개 ,"20,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C413543648
사조 리얼 닭가슴살 135gx12개 ,"20,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C413544806
5kg 닭가슴살 (국내산 닭가슴살 1kg-5개) ,"28,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A549415221
닭안심살  10kg(100% 국내산) ,"47,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B315594713
녹차 닭 안심살 1KG X 5 개 (국내산 닭고기) ,"26,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C213220136
녹차 닭가슴살 슬라이스 1KG X 5 개 (국내산 닭고기) ,"26,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C213223878
올품 닭가슴살 1kg 3봉 ,"25,300",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B455054800
하림 IFF 닭가슴살 1kg 10봉 ,"107,100",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A521318550
올품 IQF 닭가슴살 슬라이스 1kg 3봉 ,"27,300",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A605981768
녹차 닭가슴살 슬라이스 1KG X 10 개 (국내산 닭고기) ,"47,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C213223180
국내산 냉동 생 닭가슴살 5kg(1kgx5팩) ,"24,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C557953900
하림 IFF 닭가슴살 1kg 5봉 ,"51,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A521318260
하림 IFF 닭가슴살 1kg 3봉 ,"39,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C393238613
녹차 닭 안심살 1KG X 10 개 (국내산 닭고기) ,"47,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C213213620
국내산 냉동 생 닭가슴살 3kg(1kgx3팩) ,"16,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C563704023
올품 IQF 닭가슴살 슬라이스 1kg 3봉 ,"32,600",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B393469811
하림 IFF 닭가슴살 1kg ,"10,300",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A530356346
사조 리얼 닭가슴살 135gx4 ,"7,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C332751833
사조 리얼 훈제닭가슴살 135gx4 ,"7,200",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C332750524
얼리지않은 닭가슴살 냉장 닭가슴살 2kg 국내산 냉장 ,"12,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B842678093
그린푸드 닭가슴살SL 5kg 국내산100%/ ,"29,600",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A509698341
하림 IFF 닭가슴살 1kg 5봉 ,"55,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B393457501
하림 IFF  닭가슴살 1kg 3봉 ,"35,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B393453939
올품 IQF 닭가슴살 슬라이스 1kg 5봉 ,"42,300",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A605959595
올품 IQF 닭가슴살 슬라이스 1kg 10봉 ,"84,700",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A605981322
친환경 무항생제 자연실록 닭가슴살 400g 2봉 ,"15,200",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A529832584
동원 순 닭가슴살 135g 10/캔/통조림 ,"19,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B818168823
하림 IFF 닭가슴살 1kg 3봉 ,"33,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C309323530
국내산 냉동 생 닭가슴살 10kg(1kgx10팩) ,"46,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C559967664
국내산 냉동 생 닭가슴살 7kg(1kgx7팩) ,"38,400",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C563709749
마테차 훈제 닭가슴살 3kg 국내산 닭가슴살 ,"26,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A557125204
스팀 닭가슴살 혼합구성 100gx30팩(3kg) ,"49,100",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C286884166
허닭 닭가슴살 스테이크 BEST 16팩 패키지 +증정 ,"21,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C405648168
춉춉 닭가슴살 22g x 100개 고양이간식 ,"19,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C483502674
랭킹닭컴 닭가슴살 소시지 혼합구성 16팩(1.6kg) ,"22,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C463465729
그린푸드훈제닭가슴살5kg국내산 200g포장 소금무첨가 ,"46,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A511147249
랭킹닭컴 닭가슴살 스테이크 오리지널 13팩(1.3kg) ,"20,200",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C463129587
랭킹닭컴 닭가슴살 스팀 혼합 16팩(1.6kg) ,"26,600",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C463374018
허닭 닭가슴살 첫구매 입문용 실속있는 22팩 패키지 ,"29,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C427477980
랭킹닭컴 닭가슴살 스테이크 혼합 16팩(1.6kg) ,"23,600",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C463358866
허닭 일품 닭가슴살 스테이크 100g 7종 혼합 28팩 ,"29,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C398551015
뉴트리플랜 참치닭가슴살160gx48개 고양이캔 습식캔 ,"42,200",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C254554556
마테차 훈제닭가슴살5k(200g25팩)국내산 닭가슴살 ,"44,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A557126889
허닭 닭가슴살 함박스테이크 100g 4종 혼합 20팩 ,"28,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C397817349
허닭 닭가슴살 소시지만 모았닭 28팩 패키지 +증정 ,"32,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C427478190
그린푸드훈제닭가슴살10k국내산200g포장/소금무첨가 ,"88,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A555517005
맛있는 닭가슴살 볶음밥 5종 혼합 20팩 ,"38,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C348002469
굽네 닭가슴살만 맛보기 16종 17+1팩_PW09 ,"40,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B407947081
랭킹닭컴 닭가슴살 스테이크 오리지널 7팩 외 골라담기 ,"12,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C600221326
그린푸드  훈제 닭가슴살 3kg 국내산1등 체중조절식품 ,"28,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A511147142
마테차훈제닭가슴살10k(200g50팩)국내산 닭가슴살 ,"84,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A557127819
하림 밥싸먹는 닭가슴살 슬라이스 129g 5봉 ,"13,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C557681358
하림이닭 수비드닭가슴살퀴노아앤페퍼 115g 10봉 ,"19,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B797738659
녹차 닭가슴살 1KG  X 10 개 (국내산 닭고기) ,"49,800",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B886710554
더건강한 닭가슴살 직화 스테이크100G x8개 ,"13,120",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C585361611
닭가슴살 오리지널+훈제+블랙페퍼 각4봉씩 총12봉 ,"25,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B727217347
닭가슴살 블랙페퍼 110g 10봉 ,"21,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B739740889
함초 훈제 닭가슴살 200gx15팩 3kg/다이어트/헬스 ,"27,500",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B281879846
브랜드닭 훈제 닭가슴살 오리지널 100g 30팩 (3kg) ,"39,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B719727147
고양이간식 닭가슴살 22g X 30개 파우치건강식 강아지 ,"10,900",http://itempage3.auction.co.kr/DetailView.aspx?itemno=B582826009
마테차훈제닭가슴살1kg(200g5팩)소금무첨가/다이어트 ,"14,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=A557123709
바로드숑  실온 닭가슴살 5가지맛 혼합 10팩 세트 ,"22,000",http://itempage3.auction.co.kr/DetailView.aspx?itemno=C522256560
